mp-ids,K_VRH
mp-12723,47.0
mp-12742,130.0
mp-12759,112.0
mp-12965,160.0
mp-1326,164.0
mp-1327,38.0
mp-1347,108.0
mp-13475,183.0
mp-13572,173.0
mp-13797,35.0
mp-13811,107.0
mp-13916,49.0
mp-13967,179.0
mp-14006,50.0
mp-1405,69.0
mp-1408,46.0
mp-14116,164.0
mp-1474,187.0
mp-1476,101.0
mp-1519,36.0
mp-15236,32.0
mp-1539,93.0
mp-1546,33.0
mp-1556,71.0
mp-15777,28.0
mp-15779,127.0
mp-1584,166.0
mp-1623,107.0
mp-16318,52.0
mp-16327,99.0
mp-16349,133.0
mp-16529,112.0
mp-16645,83.0
mp-16719,95.0
mp-16734,119.0
mp-1683,16.0
mp-1697,157.0
mp-171,213.0
mp-17524,15.0
mp-1761,204.0
mp-1775,72.0
mp-17875,71.0
mp-18198,119.0
mp-1823,115.0
mp-1865,218.0
mp-18779,39.0
mp-18803,52.0
mp-18924,109.0
mp-1898,92.0
mp-18988,112.0
mp-19009,204.0
mp-19146,33.0
mp-19148,61.0
mp-19210,179.0
mp-1932,223.0
mp-19387,118.0
mp-19391,114.0
mp-1959,191.0
mp-19713,63.0
mp-1975,180.0
mp-1977,56.0
mp-19774,38.0
mp-1979,131.0
mp-19799,43.0
mp-19835,158.0
mp-19886,109.0
mp-20001,70.0
mp-20122,63.0
mp-20193,207.0
mp-20268,150.0
mp-20327,131.0
mp-20557,112.0
mp-20708,72.0
mp-20711,177.0
mp-20714,87.0
mp-20800,83.0
mp-20826,15.0
mp-20906,137.0
mp-21029,59.0
mp-21297,68.0
mp-21340,177.0
mp-21363,88.0
mp-21372,123.0
mp-21449,238.0
mp-21477,21.0
mp-21508,82.0
mp-2187,89.0
mp-219,219.0
mp-22033,111.0
mp-22095,114.0
mp-22151,65.0
mp-22191,197.0
mp-2221,101.0
mp-22216,49.0
mp-22255,24.0
mp-22302,177.0
mp-22313,70.0
mp-22400,54.0
mp-2264,82.0
mp-22707,50.0
mp-22722,195.0
mp-22736,64.0
mp-2275,5.0
mp-22795,57.0
mp-22801,140.0
mp-22908,4.0
mp-22916,27.0
mp-22921,52.0
mp-22937,23.0
mp-23067,12.0
mp-2313,40.0
mp-23230,1.0
mp-23244,6.0
mp-23268,16.0
mp-23279,30.0
mp-23295,15.0
mp-23313,33.0
mp-23353,14.0
mp-2363,200.0
mp-23918,16.0
mp-23959,24.0
